name,line
Homer,[meekly raises his hand]
Supervisor,"I might have known it was you, Simpson."
Homer,"But sir, I..."
Supervisor,"I don't want to hear about it Simpson, your fired!"
Terry,"[waving]  Hi, Daddy!"
Time,6:27]
Lisa,Here's a good job at the fireworks factory.
Homer,"Those perfectionists, forget it."
Lisa,"How about this, a supervising technician at the toxic waste dump."
Homer,"I'm no supervising technician, I'm a technical supervisor."
Bart,Is Mister Freely there?
Moe,Who?
Bart,"Freely, first initials I. P."
Moe,"Hold on, I'll check.  Uh, is I. P. Freely here?"
Marge,"Are you all right, Homer?"
Homer,"I'm fine, I'm just thinking."
Marge,"I've been thinking, too.  You know Homer, you've always been such a"
Homer,You think you can still do that line of work?
Marge,"Sure, you never forget.  It's just like riding a bicycle."
,[at a drive-in restaurant]
Otto,"Hey Momma, where's my fries already!"
,"[Marge skates in, somewhat annoyed]"
Lisa,Dad!  Eat something!  [holds up a sandwich] It's got mustard on it.
,[Homer's eye view of the ceiling]
,[Bart leans in and waves his hand.  Lisa also leans in.]
Bart,All he does is lie there like an unemployed whale.
Lisa,I don't know what else to do.
Maggie,[pokes Homer in the eye.  The picture fuzzes.]
Bart,There's only one thing we can do... take advantage of the old
TV Announcer,"Loaf-time, the cable network for the unemployed, will be"
Duff Beer commercial,Unemployed?  Out of work?  Sober?  You sat
Homer,Beer.  Now there's a temporary solution.
Time,11:50]
Winfield,Looks like young Simpson is going to kill himself.
Winfield,"Oh, maybe not."
Homer,Boy!  This intersection is dangerous.  Someone oughta put a
Marge,"Oh, Homer, how could think of killing yourself?  We love you."
Lisa,"Yeah, Dad, we love you."
Bart,Yeah!
,"[during Homer's speech, the sun rises slowly in the distance]"
Homer,Kill myself?  Killing myself is the last thing I'd ever do.  Now
Chief Wiggum,Well it's no secret.  Our city is under siege by a
Bart,[looking at the `Wanted' poster that shares only a slight resemblance]
Homer,"Ladies and gentlemen, esteemed councilmen, boys and girls,"
Esteemed Councilman,Simpson!  Get to the point.
Homer,I think we should put a stop sign on D Street and Twelfth.  The
Councilman,All in favor [unanimously with the other councilmen] Aye.
Homer,"But come on, we all know this is small potatoes.  There's a"
Lisa,"What, Dad?"
Homer,I'm talking about <that>!  [points at the SNPP]
Marge,You mean your going to pick on your old bosses?
Lisa,Wow!
Bart,"Gee, Dad's a hero."
Homer,"Whadja say, son?"
Bart,Nuthin'.
Homer,"That's ok, I'll just assume you said what I thought I heard you say."
I give you the man whose very name is synonymous with safety,Homer Simpson!
Burns,"Look at that man, he has the crowd in the palm of his hand.  I"
Smithers,"That's Homer Simpson, sir.  He used to work here in the plant,"
Burns,"Ah, so that's his little game.  Get this Simpson character up here"
Smithers,But Mr. Burns!
Burns,"I said do it, now DO IT, DO IT, DO IT!"
Smithers,"Hey, Simpson, Burns wants to talk to you privately."
Homer,[still speaking through the megaphone] Privately?
Burns,Hear me out Simpson!  I don't want you to come back as a technical
Homer,"Safety?  But sir!  If truth be known, I actually caused more"
Homer,[thinking to himself] Me in charge of safety?
Burns,Simpson!  Time's up.
Homer,"What the hay, I'll take the job."
Burns,"You mean you're willing to give up a good job and a raise, just"
Homer,"Hmmmm, you put it that way it does sound a little far-fetched,"
Burns,"You're not as stupid as you look, or sound, or our best testing"
Myth,It's only fair to pay for quality first-run movies.
Fact,Most movies shown on cable get two stars or less
TV,"Hear Me Roar, the Network for Women."
Marge,"Ooh, that's a good idea."
TV,"Now before we begin, you need five yards of sterilized cotton..."
Homer,"Ooh, pro wrestling from Mexico."
Bart,"Ooh, this is where Jaws eats the boat. ..."
TV,"``Mr Speaker, if I could call your attention to the"
Homer,They must think people will watch anything...
TV,"``Live, from New Orleans, this is the World Series of cock-fighting!"
Lovejoy,"Now, today's Christian doesn't think he needs God.  He thinks"
Homer,"Ooh, pizza.  [licks his lips]"
Miss Allbright,Today's topic will be Hell.
Kids,Ooh.
Bart,All right. I sat through Mercy and I sat through Forgiveness.
Miss Allbright,"Hell is a terrible place.  Maggots are your sheet, worms"
Bart,"[raises his hand] Oh, Miss Allbright."
Bart,"Wouldn't you eventually get used to it, like in a hot tub?"
Bart,[raises his hand]
Bart,Are there pirates in hell?
Bart,"[rubs hands] Hoo hoo, baby!"
Marge,"So, what did you children learn about today?"
Bart,Hell.
Homer,Bart!
Bart,But that's what we learned about.
Homer,"Well, the lad has a point."
Bart,"Hell, yes!"
Marge,Bart!
Bart,"[singing] Hell, Hell, Hell, Hell, ..."
Marge,"Bart, you're no longer in Sunday School.  Don't swear."
Troy,"Hello, I'm Troy McClure.  You may remember me from such movies as"
Homer,"Oh, goodie!  A program-length advertisement!"
Woman,"[methodically] Wait a minute, Troy.  I'm a little confused."
Troy,"There's no confusion, Tina.  Just good science.  Ladies and"
Nick,"Thank you, Troy.  Hi, everybody!"
Studio audience,"Hi, Dr. Nick Riviera!"
Satan,"Come on, Lisa.  Watch a little cable with us.  Heh heh."
Lisa,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA! [runs out]
Marge,What's gotten into Lisa?
Bart,Beats the HELL out of me!
Homer,Bart!
Time,7:25]
Lisa,"Mom, what are you doing?"
Marge,"What, what do you mean?"
Lisa,Don't you remember the eighth commandment?
Marge,"Oh, of course.  It's thou shalt not um not covet, um,"
Lisa,THOU SHALT NOT STEAL!!!
Lisa,"Dad, why is the world such a cesspool of corruption?"
Homer,"[sotto voce] Oh, great..."
Lisa,"Well, in Sunday School, we learned that stealing is a sin."
Homer,"Well, DUH."
Lisa,But everybody does it.
Homer,"Oh.  Look at this way, when you had breakfast this morning,"
Lisa,No.
Homer,And did you pay for those clothes you're wearing?
Lisa,"No, I didn't."
Homer,"Well, run for the hills, Ma Barker!  Before I call the Feds!"
Lisa,"Dad, I think that's pretty spurious."
Homer,"Well, thank you, honey."
Len,"Hey, big fight coming up."
Karl,"Yea, you wanna come over to my house and listen to round-by-round"
Len,"Oh, yeah, okay.  Oh, and then after the fight, we can watch the"
Karl,Not too shabby!
Smithers,"Permission to speak frankly, sir?"
Burns,Permission granted.
Smithers,"Well, you are quite wealthy, ..."
Burns,"Thank you, Smithers.  Your candor is most refreshing."
Lisa,"So even if a man takes bread to feed his starving family,"
Lisa,I see.
TV,You're watching `Top Hat Entertainment'.  Adult programming
Bart,"Aye, Carumba!"
Homer,Bart!
Bart,Dad!   [He didn't yell `Homer!']
Lisa,"Hi, Dad."
Homer,"Hey, Lisa... `Racing From Belmont'?  Horsies!"
Lisa,"Sorry, I'd rather go to heaven."
Time,13:36]
Homer,"Hey, how'd you get in here?"
Man,"Oh, your door wasn't locked in any serious way."
Bart,"Come one, come all!  Top Hat Theater is on the air!"
TV,"And now, the `Top Hat' channel is honored to present..."
Gang,Oooooohh...
Milhouse,Gross!
Martin,Yet strangely compelling...
Apu,"Oh, hello, Mrs. Homer.  I brought an assortment of jerkys."
Homer,"Oh, did you swipe those from work?"
Apu,Certainly not.  What has been implied here?
Homer,"Quick, Bart!  Hide the stuff I borrowed from work!"
Bart,Borrowed?
Homer,"All, right, that stuff I stole from work."
Cop,Word on the street is that you have an illegal cable hookup.
Homer,"No!  No, I... It wasn't me.  It was my wife.  My wife's idea."
Announcer,The challenger learned how to fight in the notorious province[?]
Barney,Awright!  A local boy!
Tatum,"For five years, I was incarcerated, away from my family, and"
Lisa,"Dad, we may have saved your soul."
Announcer,[from the TV inside] Tatum is reeling from the champ's
Homer,"Yeah, at the worst possible time!"
Episode,There is no disgrace like home
Homer,Are you sure that's enough?
Marge,"Oh Homer, Mr. Burns just said he liked it... [indicates with her"
